"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60","test_table_row_count","tests","2026-05-18","passed","2026-05-18","TestTables","test_tables","",""
"","115","test_text_input_fill","tests","2026-05-18","passed","2026-05-18","TestInputs","test_inputs","",""
"","173","test_form_validation[age--1]","tests","2026-05-18","passed","2026-05-18","TestForms","test_forms","",""
"","189","test_form_validation[full_name-]","tests","2026-05-18","passed","2026-05-18","TestForms","test_forms","",""
"","84","test_date_input_fill","tests","2026-05-18","passed","2026-05-18","TestInputs","test_inputs","",""
"","102","test_panel_toggle_show","tests","2026-05-18","passed","2026-05-18","TestDynamicVisibility","test_dynamic_visibility","",""
"","84","test_number_input_fill","tests","2026-05-18","passed","2026-05-18","TestInputs","test_inputs","",""
"","2923","test_async_load_error","tests","2026-05-18","passed","2026-05-18","TestAsyncButtons","test_async_buttons","",""
"","100","test_secondary_button_click","tests","2026-05-18","passed","2026-05-18","TestButtons","test_buttons","",""
"","114","test_search_input_fill","tests","2026-05-18","passed","2026-05-18","TestInputs","test_inputs","",""
"","203","test_cancel_modal","tests","2026-05-18","passed","2026-05-18","TestModals","test_modals","",""
"","194","test_confirm_modal","tests","2026-05-18","passed","2026-05-18","TestModals","test_modals","",""
"","125","test_multi_select_options","tests","2026-05-18","passed","2026-05-18","TestDropdowns","test_dropdowns","",""
"","120","test_panel_toggle_hide","tests","2026-05-18","passed","2026-05-18","TestDynamicVisibility","test_dynamic_visibility","",""
"","2027","test_async_load_success","tests","2026-05-18","passed","2026-05-18","TestAsyncButtons","test_async_buttons","",""
"","44","test_slider_value_change","tests","2026-05-18","passed","2026-05-18","TestSlider","test_slider","",""
"","63","test_iframe_content_access","tests","2026-05-18","passed","2026-05-18","TestIFrames","test_iframes","",""
"","104","test_notifications_checkbox_toggle","tests","2026-05-18","passed","2026-05-18","TestCheckboxes","test_checkboxes","",""
"","188","test_agree_checkbox_uncheck","tests","2026-05-18","passed","2026-05-18","TestCheckboxes","test_checkboxes","",""
"","45","test_table_cell_content","tests","2026-05-18","passed","2026-05-18","TestTables","test_tables","",""
"","65","test_disabled_button_state","tests","2026-05-18","passed","2026-05-18","TestButtons","test_buttons","",""
"","94","test_single_select_option","tests","2026-05-18","passed","2026-05-18","TestDropdowns","test_dropdowns","",""
"","169","test_primary_button_click","tests","2026-05-18","passed","2026-05-18","TestButtons","test_buttons","",""
"","198","test_form_validation[email-not-an-email]","tests","2026-05-18","passed","2026-05-18","TestForms","test_forms","",""
"","323","test_valid_form_submit","tests","2026-05-18","passed","2026-05-18","TestForms","test_forms","",""
"","89","test_url_input_fill","tests","2026-05-18","passed","2026-05-18","TestInputs","test_inputs","",""
"","155","test_drag_item_to_drop_zone","tests","2026-05-18","passed","2026-05-18","TestDragDrop","test_drag_and_drop","",""
"","117","test_agree_checkbox_check","tests","2026-05-18","passed","2026-05-18","TestCheckboxes","test_checkboxes","",""
"","90","test_disabled_checkbox_state","tests","2026-05-18","passed","2026-05-18","TestCheckboxes","test_checkboxes","",""
"","122","test_open_modal","tests","2026-05-18","passed","2026-05-18","TestModals","test_modals","",""
"","90","test_table_edit_action","tests","2026-05-18","passed","2026-05-18","TestTables","test_tables","",""
